"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"Efna2.Axl"	"Efna2"	"Axl"	0	0	0	0	0	0	0	0	154	0	0	70	68	202
"Ebi3.Itgb7"	"Ebi3"	"Itgb7"	0	0	0	0	0	205	0	0	0	0	0	0	0	205
"Ebi3.Cd3g"	"Ebi3"	"Cd3g"	0	0	0	0	0	168	0	0	0	0	0	0	0	167
"Il4.Grin2c"	"Il4"	"Grin2c"	0	0	0	0	0	0	0	0	0	0	0	0	437	437
"Il16.Grin2c"	"Il16"	"Grin2c"	0	0	0	0	0	0	0	539	0	0	0	203	66	626
"Ccl2.Cd79a"	"Ccl2"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	394	0	394
"Ins2.Cd79a"	"Ins2"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	240	208	372
"Cdh1.Cd79a"	"Cdh1"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	336	0	336
"Pdgfb.Cd79a"	"Pdgfb"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	136	83	173
"Fasl.Cd79a"	"Fasl"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	328	0	328
"Il4.Cd79a"	"Il4"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	74	452	470
"Ccl3.Cd79a"	"Ccl3"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	169	0	169
"Ace.Cd79a"	"Ace"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	372	108	415
"Vwf.Cd79a"	"Vwf"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	192	138	273
"Tgfb1.Cd79a"	"Tgfb1"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	448	92	477
"Apoe.Cd79a"	"Apoe"	"Cd79a"	0	0	0	0	0	0	0	0	0	0	0	179	100	229
"Cdh1.Ncstn"	"Cdh1"	"Ncstn"	0	0	0	0	0	0	0	0	69	900	0	877	0	987
"Apoe.Ncstn"	"Apoe"	"Ncstn"	0	0	0	0	0	0	0	0	0	0	0	235	136	310
"Cdh1.Ddr1"	"Cdh1"	"Ddr1"	0	0	0	0	0	0	0	0	0	0	0	847	0	847
