Human.gene.name,Gene.name
TAS2R43,TAS2R43
TAS2R31,TAS2R31
TAS2R46,TAS2R46
MOV10,MOV10
MTA2,MTA2
NR2C2,NR2C2
KLHL5,KLHL5
USP6NL,USP6NL
COL4A1,COL4A1
OR8D1,OR8D1
C8orf46,C8orf46
KLHL2,KLHL2
DDIAS,DDIAS
CST7,CST7
CATSPER2,CATSPER2
TNFRSF1B,TNFRSF1B
SEMA3E,SEMA3E
MYH3,MYH3
TRAK2,TRAK2
NUP160,NUP160
MGA,MGA
HGF,HGF
C2orf70,C2orf70
EPB41L2,EPB41L2
WBSCR17,WBSCR17
AOAH,AOAH
LRRC8A,LRRC8A
EEF1B2,EEF1B2
ADHFE1,ADHFE1
CLEC4A,CLEC4A
PDIA3,PDIA3
ACSF2,ACSF2
SNAPC1,SNAPC1
HIF1A,HIF1A
ARHGEF11,ARHGEF11
SMCR8,SMCR8
EZH1,EZH1
NSD2,NSD2
OR1E1,OR1E1
OR1E2,OR1E2
CYP2J2,CYP2J2
SLC34A3,SLC34A3
ZNF566,ZNF566
SLC39A9,SLC39A9
RHPN2,RHPN2
TMEM256,TMEM256
TMEM256-PLSCR3,TMEM256-PLSCR3
ZFP82,ZFP82
TMEM161B,TMEM161B
CHAD,CHAD
SRSF9,SRSF9
SLC8B1,SLC8B1
OR10P1,OR10P1
DSC2,DSC2
CACNG3,CACNG3
CTNNBIP1,CTNNBIP1
NDUFS1,NDUFS1
NPR1,NPR1
GRIA1,GRIA1
USF2,USF2
ZNF566,ZNF566
HSD17B7,HSD17B7
SLC25A40,SLC25A40
FAAP24,FAAP24
DEGS1,DEGS1
PAPSS1,PAPSS1
KLHL36,KLHL36
POU4F3,POU4F3
VPS35,VPS35
SRM,SRM
GBE1,GBE1
AC244226.1,AC244226.1
IGHV7-81,IGHV7-81
MBD3,MBD3
NDUFS7,NDUFS7
SESN2,SESN2
SIRPB2,SIRPB2
IZUMO4,IZUMO4
HNRNPLL,HNRNPLL
HEPHL1,HEPHL1
DCAF12,DCAF12
OR8D1,OR8D1
TAS2R14,TAS2R14
SHANK3,SHANK3
CKAP2L,CKAP2L
IGHV3-15,IGHV3-15
AC136616.2,AC136616.2
IGHV3-49,IGHV3-49
PRR14,PRR14
HSF4,HSF4
ZXDC,ZXDC
FAM167A,FAM167A
COL4A2,COL4A2
ADAL,ADAL
TCF21,TCF21
APMAP,APMAP
CYP4A11,CYP4A11
CYP4A22,CYP4A22
TERB1,TERB1
FZD10,FZD10
NTRK1,NTRK1
IDE,IDE
OR5G3,OR5G3
SNAPC1,SNAPC1
PPP2CA,PPP2CA
SIN3B,SIN3B
MID1IP1,MID1IP1
FGFR4,FGFR4
TNFRSF8,TNFRSF8
GATC,GATC
AL021546.1,AL021546.1
TMEM140,TMEM140
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
MASTL,MASTL
PAK1,PAK1
C7orf49,C7orf49
LRRC71,LRRC71
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
SH3YL1,SH3YL1
AL022238.4,AL022238.4
ADSL,ADSL
COQ3,COQ3
ASB7,ASB7
PIGR,PIGR
ZNF689,ZNF689
ORC6,ORC6
NMI,NMI
CFAP100,CFAP100
IKBKB,IKBKB
LBP,LBP
CNKSR3,CNKSR3
OSTF1,OSTF1
IGKV5-2,IGKV5-2
WNT2,WNT2
CLDN34,CLDN34
FAM160A1,FAM160A1
ZNF646,ZNF646
HAMP,HAMP
INSRR,INSRR
PRSS53,PRSS53
LIN7C,LIN7C
TRIAP1,TRIAP1
CYS1,CYS1
SELENOW,SELENOW
IGHV3-15,IGHV3-15
AC136616.2,AC136616.2
IGHV3-49,IGHV3-49
GALC,GALC
SUPT5H,SUPT5H
NDUFS5,NDUFS5
QTRT1,QTRT1
HCAR3,HCAR3
HCAR2,HCAR2
MSRB3,MSRB3
DNM1,DNM1
ARFIP1,ARFIP1
OR2Y1,OR2Y1
FBXO28,FBXO28
GRAMD1B,GRAMD1B
HCAR1,HCAR1
HRASLS5,HRASLS5
AKIRIN1,AKIRIN1
VKORC1,VKORC1
AC135050.2,AC135050.2
ABHD2,ABHD2
QRFP,QRFP
LCMT2,LCMT2
CRYBB1,CRYBB1
GRK1,GRK1
AGPAT4,AGPAT4
VKORC1,VKORC1
AC135050.2,AC135050.2
STRAP,STRAP
ZNF668,ZNF668
ITGA8,ITGA8
OR2Y1,OR2Y1
CRY2,CRY2
DNAJC12,DNAJC12
TCERG1,TCERG1
FGF14,FGF14
SH3D21,SH3D21
KIAA2026,KIAA2026
FBXW7,FBXW7
PEAR1,PEAR1
RHBDL2,RHBDL2
CAMK2B,CAMK2B
MROH1,MROH1
IGHV4-61,IGHV4-61
IGHV4-28,IGHV4-28
IGHV4-31,IGHV4-31
IGHV4OR15-8,IGHV4OR15-8
IGHV4-39,IGHV4-39
AC135068.2,AC135068.2
AC233755.1,AC233755.1
IGHV4-34,IGHV4-34
IGHV4-4,IGHV4-4
IGHV4-59,IGHV4-59
COLQ,COLQ
NBEA,NBEA
RAB3B,RAB3B
CCDC62,CCDC62
SLC39A14,SLC39A14
TAS2R14,TAS2R14
EME1,EME1
ASIC2,ASIC2
NCALD,NCALD
CCDC62,CCDC62
NUDT7,NUDT7
DENR,DENR
MFSD1,MFSD1
SLC6A12,SLC6A12
RAMP2,RAMP2
TAS2R14,TAS2R14
LRRC59,LRRC59
PRDX1,PRDX1
TAS1R3,TAS1R3
MEN1,MEN1
GPR155,GPR155
CHD5,CHD5
CLMN,CLMN
LRRC75A,LRRC75A
ARHGAP15,ARHGAP15
CDH9,CDH9
BTD,BTD
NCKAP1,NCKAP1
DVL1,DVL1
SPATA6,SPATA6
PAM,PAM
MRPL27,MRPL27
VPS25,VPS25
HACL1,HACL1
PCDHA11,PCDHA11
ARHGAP10,ARHGAP10
KCND1,KCND1
FCMR,FCMR
IGHV4-61,IGHV4-61
IGHV4-28,IGHV4-28
IGHV4-31,IGHV4-31
IGHV4OR15-8,IGHV4OR15-8
IGHV4-39,IGHV4-39
AC135068.2,AC135068.2
AC233755.1,AC233755.1
IGHV4-34,IGHV4-34
IGHV4-4,IGHV4-4
IGHV4-59,IGHV4-59
GATB,GATB
TMEM126B,TMEM126B
CLDN34,CLDN34
KLHL13,KLHL13
PHF14,PHF14
ELFN1,ELFN1
FIBCD1,FIBCD1
AC113404.3,AC113404.3
RAP1B,RAP1B
TAS2R14,TAS2R14
CASP3,CASP3
MUC4,MUC4
TAS2R14,TAS2R14
DDX18,DDX18
UBAP1,UBAP1
OR8G1,OR8G1
OR8G5,OR8G5
PCDHB11,PCDHB11
PCDHB12,PCDHB12
MTR,MTR
CLDN34,CLDN34
FAHD2B,FAHD2B
FAHD2A,FAHD2A
NELFA,NELFA
BTF3L4,BTF3L4
IGHV4-61,IGHV4-61
IGHV4-28,IGHV4-28
IGHV4-31,IGHV4-31
IGHV4OR15-8,IGHV4OR15-8
